A|A1|44
S|SPARL|058221178|-0137559431|SIT|056854620|-0135534353|119|119|10476
S|SIT|056854620|-0135534353|LILDE|055272361|-0133809417|122|128|11113
S|LILDE|055272361|-0133809417|BBGVP|054582836|-0133107958|128|128|4792
S|BBGVP|054582836|-0133107958|HALAM|054503528|-0133029028|129|129|549
S|HALAM|054503528|-0133029028|ZP|053196167|-0131777495|129|129|9008
S|ZP|053196167|-0131777495|ZT|050699167|-0127427222|129|110|21977
S|ZT|050699167|-0127427222|QQ|049753889|-0124958056|114|100|11044
S|QQ|049753889|-0124958056|YCD|049127900|-0123871650|102|112|5663
S|YCD|049127900|-0123871650|CAMZO|048782945|-0123535750|113|128|2457
S|CAMZO|048782945|-0123535750|YJ|048643889|-0123399445|128|127|994
S|YJ|048643889|-0123399445|YJ018|048802103|-0123014603|127|39|1795
S|YJ018|048802103|-0123014603|XX002|048998392|-0122531167|40|39|2241
S|XX002|048998392|-0122531167|XX|049015556|-0122487778|39|0|199

A|A1|24
S|XX|049015556|-0122487778|XX002|048998392|-0122531167|0|220|199
S|XX002|048998392|-0122531167|YJ018|048802103|-0123014603|220|219|2241
S|YJ018|048802103|-0123014603|YJ|048643889|-0123399445|219|220|1795
S|YJ|048643889|-0123399445|CAMZO|048782945|-0123535750|219|307|994
S|CAMZO|048782945|-0123535750|YCD|049127900|-0123871650|307|308|2457
S|YCD|049127900|-0123871650|QQ|049753889|-0124958056|308|293|5663
S|QQ|049753889|-0124958056|ZT|050699167|-0127427222|292|282|11044
S|ZT|050699167|-0127427222|ZP|053196167|-0131777495|280|294|21977
S|ZP|053196167|-0131777495|HALAM|054503528|-0133029028|290|309|9008
S|HALAM|054503528|-0133029028|BBGVP|054582836|-0133107958|309|309|549
S|BBGVP|054582836|-0133107958|LILDE|055272361|-0133809417|309|309|4792
S|LILDE|055272361|-0133809417|SIT|056854620|-0135534353|308|308|11113
S|SIT|056854620|-0135534353|SPARL|058221178|-0137559431|308|302|10476
S|SPARL|058221178|-0137559431|OCC|059543639|-0139728170|299|299|10400
S|OCC|059543639|-0139728170|ATAGA|059847020|-0142615375|299|263|8928
S|ATAGA|059847020|-0142615375|CAPEM|059927917|-0143076917|263|268|1472
S|CAPEM|059927917|-0143076917|CORVA|060282325|-0145247736|268|268|6831
S|CORVA|060282325|-0145247736|EGGER|060357050|-0145742072|268|268|1536
S|EGGER|060357050|-0145742072|ALJ|060479822|-0146587431|268|268|2610
S|ALJ|060479822|-0146587431|ATYOL|060742689|-0148720858|268|267|6476
S|ATYOL|060742689|-0148720858|CMQ|061171017|-0150047667|267|284|4641
S|CMQ|061171017|-0150047667|VTR|062946859|-0155557308|284|288|18791
S|VTR|062946859|-0155557308|JNR|063907711|-0160811908|286|279|15231
S|JNR|063907711|-0160811908|FDV|064494747|-0165315097|275|0|12272

A|A1|8
S|BRY|048407000|0003294778|LUREN|048025833|0003913889|0|133|3370
