0000E|0|0| 
0000N|0|0| 
0000S|0|0| 
0000W|0|0| 
0001E|0|1000000| 
0001N|0|-1000000| 
0001S|0|1000000| 
0001W|0|-1000000| 
0002E|0|2000000| 
0002N|0|-2000000| 
0002S|0|2000000| 
0002W|0|-2000000| 
90VOR|42849870|141692672|RJ
90VOR|43068456|141447083|RJ
90VOR|43418514|21646625|LY
90VOR|43587964|-72380383|K6
91BGO|20155833|92366667|VY
91LOC|49604114|-119602647|CY
92DME|51834289|14301147|ED
92VOR|35946439|140275764|RJ
95DME|36822067|-2456175|LE
95THR|69519156|18810633|EN
95VOR|40044350|-105023700|K2
96VO2|37446083|126936445|RK
96VOR|37442056|126931361|RK
97TAC|53220153|-60628600|CY
97VOR|44090892|-93210650|K3
99THR|-22835600|-43429511|SB
99VOR|46368370|6303625|LS
9NM|22052186|40708233|OE
9NMA|-43250125|172357770|NZ
9NMB|-43250372|172415186|NZ
9NMC|-43255147|172444533|NZ
A|19713333|110263333|ZJ
A|22470981|108294453|ZG
A|23388333|113236667|ZG
A|25566667|110666667|ZG
A|27700000|120913334|ZS
A|29905000|121710000|ZS
A|30206667|120206667|ZS
A|31691667|120333333|ZS
A|32320317|119628289|ZS
A|34658333|108281667|ZL
A|37765753|120890231|ZS
A|45108131|8565822|LI
A06C1|-4487392|15286681|FZ
A06F1|-4442156|15356897|FZ
A1|41753333|124430000|ZY
A18C1|-2742261|25902739|FZ
A18F1|-2825792|25908692|FZ
A2|23049444|79850000|VA
A2|41761867|124119064|ZY
A3|41529436|124148086|ZY
A36C1|-3096219|25928009|FZ
A36F1|-3012692|25922053|FZ
A4|22183333|74511111|VA
A4|41612447|124137744|ZY
A4L11|35987667|140213639|RJ
A4L12|36042389|140279667|RJ
A4L13|36043528|140433250|RJ
A4L14|35993834|140534722|RJ
A4R21|35924834|140291445|RJ
A4R22|35959584|140363917|RJ
A4R23|35944111|140437417|RJ
A4R24|35870889|140446000|RJ
A5|22243056|75916667|VA
A5|41863825|124377736|ZY
A6|41542639|123974161|ZY
A6L21|35527195|140578306|RJ
A6L22|35440167|140640639|RJ
A6R11|35515806|140554500|RJ
A6R12|35428750|140616861|RJ
A6R13|35448583|140414611|RJ
A6R14|35556861|140336639|RJ
AA001|-37026083|174847759|NZ
AA003|-36978761|174804575|NZ
AA004|-36988781|174714175|NZ
AA005|-36995045|174709722|NZ
AA006|-36973484|174771958|NZ
AA007|-36962300|174834231|NZ
AA008|-36949906|174845450|NZ
AA009|-37094492|174903056|NZ
AA010|-36930631|174894520|NZ
AA011|-36924414|174902367|NZ
AA07F|54602678|-6418450|EG
AA07I|54581497|-6496278|EG
AA111|39470278|116339445|ZB
AA112|39719445|116310556|ZB
AA113|39735278|116503333|ZB
AA114|39486667|116536667|ZB
AA115|39723611|116099167|ZB
AA116|40261111|115613333|ZB
AA117|39642778|116516111|ZB
AA118|39741389|115678889|ZB
AA119|39729722|115983056|ZB
AA121|39445000|116941389|ZB
AA122|39856667|116942222|ZB
AA123|39840278|116768611|ZB
AA124|39511389|116824722|ZB
AA125|40049444|116733889|ZB
AA126|40331667|116688333|ZB
AA127|39666667|116798056|ZB
AA128|40637222|116793611|ZB
AA131|40160556|116513333|ZB
AA132|40268056|116419445|ZB
AA133|40276667|116245833|ZB
AA134|40092222|115912778|ZB
AA142|-37220417|174841378|NZ
AA151|40177778|116581667|ZB
AA152|40370278|116506389|ZB
AA153|40376667|116165833|ZB
AA154|40281945|115936389|ZB
AA155|40226389|115789445|ZB
AA156|40251944|116592778|ZB
AA157|40401667|116548611|ZB
AA158|40543889|117003889|ZB
AA159|40554722|117073333|ZB
AA160|-37217278|174759678|NZ
AA160|40341945|116930834|ZB
AA161|40543889|117003889|ZB
AA163|40278056|116829167|ZB
AA164|40244722|117000556|ZB
AA165|40489167|117110000|ZB
AA171|40167222|116654445|ZB
AA172|40182500|116826945|ZB
AA173|40136111|116992222|ZB
AA174|39766945|116992222|ZB
AA175|39401945|116992222|ZB
AA176|40133611|116874722|ZB
AA177|39701667|116874722|ZB
AA178|39842500|116874722|ZB
AA179|39400000|116874722|ZB
AA210|39478611|116225556|ZB
AA211|39723611|116099167|ZB
AA212|39872222|116076944|ZB
AA213|40133333|116076944|ZB
AA214|40233333|115802222|ZB
AA215|40378056|115813333|ZB
AA216|40365278|116076389|ZB
AA217|40354445|116266389|ZB
AA218|40711389|116266389|ZB
AA231|39427222|116737222|ZB
AA232|40049444|116733889|ZB
AA233|40235000|116703056|ZB
